Country,Date,Total Cases,Deaths,Recovered,Active Cases
Japan,2020-03-27,1499,49,359,1091
Japan,2020-03-28,1693,52,388,1253
Japan,2020-03-29,1866,52,408,1406
Japan,2020-03-30,1953,56,425,1472
Japan,2020-03-31,2178,57,472,1649
Japan,2020-04-01,2384,57,505,1822
Japan,2020-04-02,2617,65,505,2047
Japan,2020-04-03,2920,69,505,2346
Japan,2020-04-04,3139,77,514,2548
Japan,2020-04-05,3654,85,575,2994
Japan,2020-04-06,3906,92,592,3222
Japan,2020-04-07,4257,93,622,3542
Japan,2020-04-08,4667,94,632,3941
Japan,2020-04-09,5347,99,665,4583
Japan,2020-04-10,6005,99,685,5221
Japan,2020-04-11,6748,132,714,5902
Japan,2020-04-12,"7,255",102,784,6369
Japan,2020-04-13,"7,645",109,799,6737
Japan,2020-04-14,"8,100",119,853,7128
Japan,2020-04-15,"8,582",136,935,7511
Japan,2020-04-16,"9,167",148,1012,8007
Japan,2020-04-17,"9,795",154,1069,8572
Japan,2020-04-18,"10,361",161,1159,9041
Japan,2020-04-19,"10,751",171,1239,9341
Japan,2020-04-20,"11,118",186,1239,9693
Chile,2020-03-03,1,0,0,1
Chile,2020-03-04,3,0,0,3
Chile,2020-03-05,4,0,0,4
Chile,2020-03-06,5,0,0,5
Chile,2020-03-07,7,0,0,7
Chile,2020-03-08,10,0,0,10
Chile,2020-03-09,13,0,0,13
Chile,2020-03-10,17,0,0,17
Chile,2020-03-11,23,0,0,23
Chile,2020-03-12,34,0,0,34
Chile,2020-03-13,43,0,0,43
Chile,2020-03-14,61,0,0,61
Chile,2020-03-15,75,0,0,75
Chile,2020-03-16,156,0,0,156
Chile,2020-03-17,201,0,1,200
Chile,2020-03-18,238,0,3,235
Chile,2020-03-19,342,0,5,337
Chile,2020-03-20,434,0,6,428
Chile,2020-03-21,537,1,8,528
Chile,2020-03-22,632,1,8,623
Chile,2020-03-23,746,2,11,733
Chile,2020-03-24,922,2,17,903
Chile,2020-03-25,1142,3,22,1117
Chile,2020-03-26,1306,4,33,1269
Chile,2020-03-27,1610,5,43,1562
Chile,2020-03-28,1909,6,61,1842
Chile,2020-03-29,2139,7,75,2057
Chile,2020-03-30,2449,8,156,2285
Chile,2020-03-31,2738,12,201,2525
Chile,2020-04-01,3031,16,234,2781
Chile,2020-04-02,3404,18,335,3051
Chile,2020-04-03,3737,22,427,3288
Chile,2020-04-04,4161,27,528,3606
Chile,2020-04-05,4471,34,598,3839
Chile,2020-04-06,4815,37,728,4050
Chile,2020-04-07,5116,43,898,4175
Chile,2020-04-08,5546,48,1115,4383
Chile,2020-04-09,5972,57,1274,4641
Chile,2020-04-10,6501,65,1571,4865
Chile,2020-04-11,6927,73,1864,4990
Chile,2020-04-12,7213,80,2059,5074
Chile,2020-04-13,"7,525",82,2367,5076
Chile,2020-04-14,"7,917",92,2646,5179
Chile,2020-04-15,"8,273",94,2937,5242
Chile,2020-04-16,"8,807",105,3299,5403
Chile,2020-04-17,"9,252",116,3621,5515
Chile,2020-04-18,"9,730",126,4035,5569
Chile,2020-04-19,"10,088",133,4338,5617
Chile,2020-04-20,"10,507",139,4476,5892
Poland,2020-03-04,1,0,0,1
Poland,2020-03-05,1,0,0,1
Poland,2020-03-06,5,0,0,5
Poland,2020-03-07,6,0,0,6
Poland,2020-03-08,11,0,0,11
Poland,2020-03-09,17,0,0,17
Poland,2020-03-10,22,0,0,22
Poland,2020-03-11,31,0,0,31
Poland,2020-03-12,51,1,0,50
Poland,2020-03-13,68,2,0,66
Poland,2020-03-14,104,3,0,101
Poland,2020-03-15,125,3,0,122
Poland,2020-03-16,177,4,0,173
Poland,2020-03-17,238,5,1,232
Poland,2020-03-18,287,5,1,281
Poland,2020-03-19,355,5,1,349
Poland,2020-03-20,425,5,3,417
Poland,2020-03-21,536,5,3,528
Poland,2020-03-22,634,7,3,624
Poland,2020-03-23,749,8,3,738
Poland,2020-03-24,900,10,4,886
Poland,2020-03-25,1051,13,10,1028
Poland,2020-03-26,1221,16,19,1186
Poland,2020-03-27,1389,16,20,1353
Poland,2020-03-28,1638,18,23,1597
Poland,2020-03-29,1862,22,28,1812
Poland,2020-03-30,2055,31,35,1989
Poland,2020-03-31,2311,33,35,2243
Poland,2020-04-01,2554,43,47,2464
Poland,2020-04-02,2946,57,47,2842
Poland,2020-04-03,3383,71,47,3265
Poland,2020-04-04,3627,79,116,3432
Poland,2020-04-05,4102,94,134,3874
Poland,2020-04-06,4413,107,162,4144
Poland,2020-04-07,4848,129,191,4528
Poland,2020-04-08,5205,158,222,4825
Poland,2020-04-09,5575,174,284,5117
Poland,2020-04-10,5955,181,318,5456
Poland,2020-04-11,6356,208,375,5773
Poland,2020-04-12,6674,232,439,6003
Poland,2020-04-13,6934,245,487,6202
Poland,2020-04-14,7202,263,618,6321
Poland,2020-04-15,7582,286,668,6628
Poland,2020-04-16,7918,314,774,6830
Poland,2020-04-17,8379,332,866,7181
Poland,2020-04-18,8742,347,981,7414
Poland,2020-04-19,9287,360,1040,7887
Poland,2020-04-20,9593,380,1133,8080
Romania,2020-02-26,1,0,0,1
Romania,2020-02-27,1,0,0,1
Romania,2020-02-28,3,0,0,3
Romania,2020-02-29,3,0,0,3
Romania,2020-03-01,3,0,0,3
Romania,2020-03-02,3,0,0,3
Romania,2020-03-03,4,0,1,3
Romania,2020-03-04,6,0,1,5
Romania,2020-03-05,7,0,1,6
Romania,2020-03-06,9,0,3,6
Romania,2020-03-07,13,0,4,9
Romania,2020-03-08,15,0,5,10
Romania,2020-03-09,17,0,5,12
Romania,2020-03-10,29,0,5,24
Romania,2020-03-11,47,0,7,40
Romania,2020-03-12,59,0,7,52
Romania,2020-03-13,95,0,7,88
Romania,2020-03-14,123,0,9,114
Romania,2020-03-15,139,0,9,130
Romania,2020-03-16,168,0,9,159
Romania,2020-03-17,217,0,19,198
Romania,2020-03-18,260,0,19,241
Romania,2020-03-19,277,0,25,252
Romania,2020-03-20,308,0,31,277
Romania,2020-03-21,367,0,52,315
Romania,2020-03-22,433,3,64,366
Romania,2020-03-23,576,7,73,496
Romania,2020-03-24,762,12,79,671
Romania,2020-03-25,906,17,86,803
Romania,2020-03-26,1029,23,94,912
Romania,2020-03-27,1292,26,115,1151
Romania,2020-03-28,1452,29,139,1284
Romania,2020-03-29,1760,43,169,1548
Romania,2020-03-30,1952,65,209,1678
Romania,2020-03-31,2245,80,220,1945
Romania,2020-04-01,2460,85,252,2123
Romania,2020-04-02,2738,94,267,2377
Romania,2020-04-03,3183,116,283,2784
Romania,2020-04-04,3613,141,329,3143
Romania,2020-04-05,3864,148,374,3342
Romania,2020-04-06,4057,157,406,3494
Romania,2020-04-07,4417,182,460,3775
Romania,2020-04-08,4761,209,528,4024
Romania,2020-04-09,5202,229,647,4326
Romania,2020-04-10,5467,257,729,4481
Romania,2020-04-11,5990,282,758,4950
Romania,2020-04-12,6300,306,852,5142
Romania,2020-04-13,6633,318,914,5401
Romania,2020-04-14,6879,332,1051,5496
Romania,2020-04-15,7216,362,1217,5637
Romania,2020-04-16,7707,387,1357,5963
Romania,2020-04-17,8067,400,1507,6160
Romania,2020-04-18,8418,417,1730,6271
Romania,2020-04-19,8746,434,1892,6420
Romania,2020-04-20,8936,451,2017,6468
Norway,2020-02-26,1,0,0,1
Norway,2020-02-27,4,0,0,4
Norway,2020-02-28,7,0,0,7
Norway,2020-02-29,15,0,0,15
Norway,2020-03-01,19,0,0,19
Norway,2020-03-02,25,0,0,25
Norway,2020-03-03,33,0,0,33
Norway,2020-03-04,54,0,0,54
Norway,2020-03-05,84,0,0,84
Norway,2020-03-06,111,0,0,111
Norway,2020-03-07,145,0,0,145
Norway,2020-03-08,167,0,0,167
Norway,2020-03-09,190,0,0,190
Norway,2020-03-10,275,0,0,275
Norway,2020-03-11,489,0,0,489
Norway,2020-03-12,621,1,0,620
Norway,2020-03-13,750,1,0,749
Norway,2020-03-14,907,3,0,904
Norway,2020-03-15,1077,3,0,1074
Norway,2020-03-16,1169,3,0,1166
Norway,2020-03-17,1308,3,0,1305
Norway,2020-03-18,1423,6,0,1417
Norway,2020-03-19,1552,6,0,1546
Norway,2020-03-20,1742,7,0,1735
Norway,2020-03-21,1926,7,0,1919
Norway,2020-03-22,2132,7,0,2125
Norway,2020-03-23,2371,7,0,2364
Norway,2020-03-24,2566,10,0,2556
Norway,2020-03-25,2916,12,0,2904
Norway,2020-03-26,3156,14,0,3142
Norway,2020-03-27,3581,16,0,3565
Norway,2020-03-28,3845,20,0,3825
Norway,2020-03-29,4102,22,0,4080
Norway,2020-03-30,4226,27,0,4199
Norway,2020-03-31,4447,28,0,4419
Norway,2020-04-01,4655,32,0,4623
Norway,2020-04-02,4935,42,0,4893
Norway,2020-04-03,5208,44,0,5164
Norway,2020-04-04,5510,50,0,5460
Norway,2020-04-05,5640,58,0,5582
Norway,2020-04-06,5755,59,0,5696
Norway,2020-04-07,5863,69,0,5794
Norway,2020-04-08,6010,80,0,5930
Norway,2020-04-09,6160,88,0,6072
Norway,2020-04-10,6244,92,0,6152
Norway,2020-04-11,6320,98,0,6222
Norway,2020-04-12,6415,103,0,6312
Norway,2020-04-13,6488,114,0,6374
Norway,2020-04-14,6566,127,0,6439
Norway,2020-04-15,6677,130,0,6547
Norway,2020-04-16,6791,136,0,6655
Norway,2020-04-17,6891,137,0,6754
Norway,2020-04-18,6984,148,0,6836
Norway,2020-04-19,7068,154,0,6914
Norway,2020-04-20,7113,154,0,6959
Denmark,2020-02-27,1,0,0,1
Denmark,2020-02-28,2,0,0,2
Denmark,2020-02-29,3,0,0,3
Denmark,2020-03-01,4,0,0,4
Denmark,2020-03-02,4,0,0,4
Denmark,2020-03-03,10,0,0,10
Denmark,2020-03-04,15,0,0,15
Denmark,2020-03-05,20,0,0,20
Denmark,2020-03-06,23,0,0,23
Denmark,2020-03-07,29,0,0,29
Denmark,2020-03-08,37,0,0,37
Denmark,2020-03-09,92,0,0,92
Denmark,2020-03-10,264,0,0,264
Denmark,2020-03-11,516,0,0,516
Denmark,2020-03-12,676,1,0,675
Denmark,2020-03-13,804,1,0,803
Denmark,2020-03-14,836,2,0,834
Denmark,2020-03-15,875,4,0,871
Denmark,2020-03-16,932,5,0,927
Denmark,2020-03-17,1024,6,0,1018
Denmark,2020-03-18,1115,9,0,1106
Denmark,2020-03-19,1223,14,0,1209
Denmark,2020-03-20,1335,18,0,1317
Denmark,2020-03-21,1418,21,0,1397
Denmark,2020-03-22,1512,24,0,1488
Denmark,2020-03-23,1582,24,0,1558
Denmark,2020-03-24,1717,32,0,1685
Denmark,2020-03-25,1861,34,0,1827
Denmark,2020-03-26,2023,41,0,1982
Denmark,2020-03-27,2199,52,0,2147
Denmark,2020-03-28,2366,65,0,2301
Denmark,2020-03-29,2564,72,0,2492
Denmark,2020-03-30,2755,77,1,2677
Denmark,2020-03-31,3039,90,2,2947
Denmark,2020-04-01,3290,104,894,2292
Denmark,2020-04-02,3573,123,1172,2278
Denmark,2020-04-03,3946,139,1193,2614
Denmark,2020-04-04,4268,161,1379,2728
Denmark,2020-04-05,4561,179,1430,2952
Denmark,2020-04-06,4875,187,1489,3199
Denmark,2020-04-07,5266,203,1615,3448
Denmark,2020-04-08,5597,218,1762,3617
Denmark,2020-04-09,5830,237,1883,3710
Denmark,2020-04-10,6014,247,1929,3838
Denmark,2020-04-11,6191,260,2111,3820
Denmark,2020-04-12,6369,273,2291,3805
Denmark,2020-04-13,6513,285,2403,3825
Denmark,2020-04-14,6706,299,2689,3718
Denmark,2020-04-15,6876,309,2925,3642
Denmark,2020-04-16,7074,321,3203,3550
Denmark,2020-04-17,7268,336,3571,3361
Denmark,2020-04-18,7437,346,4031,3060
Denmark,2020-04-19,7580,355,4328,2897
Denmark,2020-04-20,7711,364,4500,2847
Australia,2020-01-25,4,0,0,4
Australia,2020-01-26,4,0,0,4
Australia,2020-01-27,5,0,0,5
Australia,2020-01-28,5,0,0,5
Australia,2020-01-29,7,0,0,7
Australia,2020-01-30,9,0,0,9
Australia,2020-01-31,9,0,0,9
Australia,2020-02-01,10,0,0,10
Australia,2020-02-02,12,0,0,12
Australia,2020-02-03,12,0,0,12
Australia,2020-02-04,13,0,0,13
Australia,2020-02-05,14,0,0,14
Australia,2020-02-06,15,0,0,15
Australia,2020-02-07,15,0,0,15
Australia,2020-02-08,15,0,0,15
Australia,2020-02-09,15,0,0,15
Australia,2020-02-10,15,0,0,15
Australia,2020-02-11,15,0,0,15
Australia,2020-02-12,15,0,0,15
Australia,2020-02-13,15,0,0,15
Australia,2020-02-14,15,0,0,15
Australia,2020-02-15,15,0,0,15
Australia,2020-02-16,15,0,0,15
Australia,2020-02-17,15,0,0,15
Australia,2020-02-18,15,0,0,15
Australia,2020-02-19,15,0,0,15
Australia,2020-02-20,17,0,0,17
Australia,2020-02-21,21,0,0,21
Australia,2020-02-22,21,0,0,21
Australia,2020-02-23,21,0,0,21
Australia,2020-02-24,21,0,0,21
Australia,2020-02-25,22,0,0,22
Australia,2020-02-26,22,0,0,22
Australia,2020-02-27,22,0,0,22
Australia,2020-02-28,25,0,0,25
Australia,2020-02-29,26,0,0,26
Australia,2020-03-01,29,1,0,28
Australia,2020-03-02,33,2,0,31
Australia,2020-03-03,40,2,0,38
Australia,2020-03-04,51,2,0,49
Australia,2020-03-05,59,2,0,57
Australia,2020-03-06,63,2,0,61
Australia,2020-03-07,73,2,0,71
Australia,2020-03-08,78,3,0,75
Australia,2020-03-09,91,3,0,88
Australia,2020-03-10,112,3,0,109
Australia,2020-03-11,128,3,0,125
Australia,2020-03-12,156,3,0,153
Australia,2020-03-13,198,3,0,195
Australia,2020-03-14,248,3,0,245
Australia,2020-03-15,298,5,0,293
Australia,2020-03-16,376,5,0,371
Australia,2020-03-17,453,5,0,448
Australia,2020-03-18,566,6,0,560
Australia,2020-03-19,708,6,0,702
Australia,2020-03-20,875,7,0,868
Australia,2020-03-21,1071,7,0,1064
Australia,2020-03-22,1352,7,0,1345
Australia,2020-03-23,1716,7,0,1709
Australia,2020-03-24,2146,8,0,2138
Australia,2020-03-25,2431,9,0,2422
Australia,2020-03-26,2805,13,0,2792
Australia,2020-03-27,3179,13,0,3166
Australia,2020-03-28,3639,14,0,3625
Australia,2020-03-29,3985,16,0,3969
Australia,2020-03-30,4250,18,0,4232
Australia,2020-03-31,4560,19,0,4541
Australia,2020-04-01,4864,21,0,4843
Australia,2020-04-02,5136,24,0,5112
Australia,2020-04-03,5358,28,0,5330
Australia,2020-04-04,5552,30,0,5522
Australia,2020-04-05,5687,34,2315,3338
Australia,2020-04-06,5795,39,2432,3324
Australia,2020-04-07,5908,45,2547,3316
Australia,2020-04-08,6013,50,2813,3150
Australia,2020-04-09,6103,51,2987,3065
Australia,2020-04-10,6203,53,3141,3009
Australia,2020-04-11,6292,56,3265,2971
Australia,2020-04-12,6313,59,3338,2916
Australia,2020-04-13,6359,61,3494,2804
Australia,2020-04-14,6400,61,3598,2741
Australia,2020-04-15,6447,63,3686,2698
Australia,2020-04-16,"6,468",63,3747,2658
Australia,2020-04-17,"6,523",65,3819,2639
Australia,2020-04-18,"6,565",68,4163,2334
Australia,2020-04-19,"6,606",70,4230,2306
Australia,2020-04-20,"6,619",71,4258,2290
Pakistan,2020-02-26,2,0,0,2
Pakistan,2020-02-27,2,0,0,2
Pakistan,2020-02-28,2,0,0,2
Pakistan,2020-02-29,4,0,0,4
Pakistan,2020-03-01,4,0,0,4
Pakistan,2020-03-02,4,0,0,4
Pakistan,2020-03-03,5,0,0,5
Pakistan,2020-03-04,5,0,1,4
Pakistan,2020-03-05,6,0,1,5
Pakistan,2020-03-06,6,0,1,5
Pakistan,2020-03-07,6,0,1,5
Pakistan,2020-03-08,7,0,1,6
Pakistan,2020-03-09,16,0,1,15
Pakistan,2020-03-10,19,0,1,18
Pakistan,2020-03-11,20,0,1,19
Pakistan,2020-03-12,21,0,1,20
Pakistan,2020-03-13,28,0,1,27
Pakistan,2020-03-14,31,0,2,29
Pakistan,2020-03-15,53,2,3,48
Pakistan,2020-03-16,187,2,3,182
Pakistan,2020-03-17,241,2,4,235
Pakistan,2020-03-18,302,3,5,294
Pakistan,2020-03-19,461,3,5,453
Pakistan,2020-03-20,495,3,5,487
Pakistan,2020-03-21,646,5,5,636
Pakistan,2020-03-22,784,6,6,772
Pakistan,2020-03-23,887,7,6,874
Pakistan,2020-03-24,991,7,7,977
Pakistan,2020-03-25,1057,8,21,1028
Pakistan,2020-03-26,1197,9,23,1165
Pakistan,2020-03-27,1408,11,26,1371
Pakistan,2020-03-28,1526,13,28,1485
Pakistan,2020-03-29,1625,18,32,1575
Pakistan,2020-03-30,1865,25,58,1782
Pakistan,2020-03-31,2039,26,82,1931
Pakistan,2020-04-01,2291,31,107,2153
Pakistan,2020-04-02,2450,35,126,2289
Pakistan,2020-04-03,2640,36,130,2474
Pakistan,2020-04-04,2818,41,150,2627
Pakistan,2020-04-05,3062,45,170,2847
Pakistan,2020-04-06,3556,51,259,3246
Pakistan,2020-04-07,4005,55,429,3521
Pakistan,2020-04-08,4207,61,467,3679
Pakistan,2020-04-09,4489,63,572,3854
Pakistan,2020-04-10,4695,66,727,3902
Pakistan,2020-04-11,5011,86,767,4158
Pakistan,2020-04-12,5230,91,1028,4111
Pakistan,2020-04-13,5496,93,1097,4306
Pakistan,2020-04-14,5837,96,1378,4363
Pakistan,2020-04-15,6383,111,1446,4826
Pakistan,2020-04-16,6919,128,1645,5146
Pakistan,2020-04-17,7025,135,1765,5125
Pakistan,2020-04-18,7638,144,1832,5662
Pakistan,2020-04-19,8348,168,1868,6312
Czech Republic,2020-03-01,3,0,0,3
Czech Republic,2020-03-02,3,0,0,3
Czech Republic,2020-03-03,5,0,0,5
Czech Republic,2020-03-04,5,0,0,5
Czech Republic,2020-03-05,8,0,0,8
Czech Republic,2020-03-06,19,0,0,19
Czech Republic,2020-03-07,26,0,0,26
Czech Republic,2020-03-08,32,0,0,32
Czech Republic,2020-03-09,38,0,0,38
Czech Republic,2020-03-10,63,0,0,63
Czech Republic,2020-03-11,94,0,0,94
Czech Republic,2020-03-12,116,0,0,116
Czech Republic,2020-03-13,141,0,0,141
Czech Republic,2020-03-14,189,0,0,189
Czech Republic,2020-03-15,298,0,0,298
Czech Republic,2020-03-16,383,0,3,380
Czech Republic,2020-03-17,450,0,3,447
Czech Republic,2020-03-18,560,0,3,557
Czech Republic,2020-03-19,765,0,3,762
Czech Republic,2020-03-20,889,0,4,885
Czech Republic,2020-03-21,1047,0,6,1041
Czech Republic,2020-03-22,1161,1,6,1154
Czech Republic,2020-03-23,1287,1,7,1279
Czech Republic,2020-03-24,1472,3,10,1459
Czech Republic,2020-03-25,1763,9,10,1744
Czech Republic,2020-03-26,2022,10,10,2002
Czech Republic,2020-03-27,2395,12,11,2372
Czech Republic,2020-03-28,2657,17,11,2629
Czech Republic,2020-03-29,2817,23,11,2783
Czech Republic,2020-03-30,3001,29,25,2947
Czech Republic,2020-03-31,3308,36,45,3227
Czech Republic,2020-04-01,3589,44,61,3484
Czech Republic,2020-04-02,3858,49,71,3738
Czech Republic,2020-04-03,4190,58,74,4058
Czech Republic,2020-04-04,4472,66,78,4328
Czech Republic,2020-04-05,4587,78,96,4413
Czech Republic,2020-04-06,4822,85,127,4610
Czech Republic,2020-04-07,5017,95,172,4750
Czech Republic,2020-04-08,5312,109,233,4970
Czech Republic,2020-04-09,5569,120,301,5148
Czech Republic,2020-04-10,5732,128,346,5258
Czech Republic,2020-04-11,5902,137,411,5354
Czech Republic,2020-04-12,5991,147,464,5380
Czech Republic,2020-04-13,6059,158,519,5382
Czech Republic,2020-04-14,6141,166,642,5333
Czech Republic,2020-04-15,6301,166,819,5316
Czech Republic,2020-04-16,6433,172,972,5289
Czech Republic,2020-04-17,6549,179,1174,5196
Czech Republic,2020-04-18,6654,181,1227,5246
Czech Republic,2020-04-19,6746,189,1298,5259
Czech Republic,2020-04-20,6900,194,1559,5147
Saudi Arabia,2020-03-02,1,0,0,1
Saudi Arabia,2020-03-03,1,0,0,1
Saudi Arabia,2020-03-04,2,0,0,2
Saudi Arabia,2020-03-05,5,0,0,5
Saudi Arabia,2020-03-06,5,0,0,5
Saudi Arabia,2020-03-07,7,0,0,7
Saudi Arabia,2020-03-08,11,0,0,11
Saudi Arabia,2020-03-09,15,0,0,15
Saudi Arabia,2020-03-10,20,0,0,20
Saudi Arabia,2020-03-11,45,0,0,45
Saudi Arabia,2020-03-12,62,0,0,62
Saudi Arabia,2020-03-13,86,0,0,86
Saudi Arabia,2020-03-14,103,0,0,103
Saudi Arabia,2020-03-15,118,0,2,116
Saudi Arabia,2020-03-16,133,0,5,128
Saudi Arabia,2020-03-17,171,0,5,166
Saudi Arabia,2020-03-18,238,0,5,233
Saudi Arabia,2020-03-19,274,0,7,267
Saudi Arabia,2020-03-20,344,0,7,337
Saudi Arabia,2020-03-21,392,0,15,377
Saudi Arabia,2020-03-22,511,0,16,495
Saudi Arabia,2020-03-23,562,0,18,544
Saudi Arabia,2020-03-24,767,1,27,739
Saudi Arabia,2020-03-25,900,2,28,870
Saudi Arabia,2020-03-26,1012,3,32,977
Saudi Arabia,2020-03-27,1104,3,35,1066
Saudi Arabia,2020-03-28,1203,4,37,1162
Saudi Arabia,2020-03-29,1299,8,66,1225
Saudi Arabia,2020-03-30,1453,8,115,1330
Saudi Arabia,2020-03-31,1563,10,165,1388
Saudi Arabia,2020-04-01,1720,16,264,1440
Saudi Arabia,2020-04-02,1885,21,328,1536
Saudi Arabia,2020-04-03,2039,25,351,1663
Saudi Arabia,2020-04-04,2179,29,420,1730
Saudi Arabia,2020-04-05,2385,34,488,1863
Saudi Arabia,2020-04-06,2523,38,551,1934
Saudi Arabia,2020-04-07,2795,41,615,2139
Saudi Arabia,2020-04-08,2932,41,631,2260
Saudi Arabia,2020-04-09,3287,44,666,2577
Saudi Arabia,2020-04-10,3651,47,685,2919
Saudi Arabia,2020-04-11,4033,52,720,3261
Saudi Arabia,2020-04-12,4462,59,761,3642
Saudi Arabia,2020-04-13,4934,65,805,4064
Saudi Arabia,2020-04-14,5369,73,889,4407
Saudi Arabia,2020-04-15,5862,79,931,4852
Saudi Arabia,2020-04-16,6380,86,990,5304
Saudi Arabia,2020-04-17,7142,87,990,6065
Saudi Arabia,2020-04-18,8274,92,1329,6853
Saudi Arabia,2020-04-19,9362,97,1398,7867
Saudi Arabia,2020-04-20,10484,103,1490,8891
Mexico,2020-02-28,3,0,0,3
Mexico,2020-02-29,4,0,0,4
Mexico,2020-03-01,5,0,0,5
Mexico,2020-03-02,5,0,0,5
Mexico,2020-03-03,5,0,0,5
Mexico,2020-03-04,5,0,0,5
Mexico,2020-03-05,5,0,0,5
Mexico,2020-03-06,6,0,0,6
Mexico,2020-03-07,7,0,0,7
Mexico,2020-03-08,7,0,0,7
Mexico,2020-03-09,7,0,0,7
Mexico,2020-03-10,7,0,0,7
Mexico,2020-03-11,11,0,0,11
Mexico,2020-03-12,15,0,1,14
Mexico,2020-03-13,26,0,1,25
Mexico,2020-03-14,41,0,2,39
Mexico,2020-03-15,53,0,2,51
Mexico,2020-03-16,82,0,3,79
Mexico,2020-03-17,93,0,3,90
Mexico,2020-03-18,118,0,3,115
Mexico,2020-03-19,164,0,3,161
Mexico,2020-03-20,203,0,3,200
Mexico,2020-03-21,251,0,3,248
Mexico,2020-03-22,316,0,3,313
Mexico,2020-03-23,367,4,3,360
Mexico,2020-03-24,405,5,3,397
Mexico,2020-03-25,475,6,3,466
Mexico,2020-03-26,585,8,3,574
Mexico,2020-03-27,717,12,3,702
Mexico,2020-03-28,848,16,4,828
Mexico,2020-03-29,993,20,6,967
Mexico,2020-03-30,1094,28,35,1031
Mexico,2020-03-31,1215,29,35,1151
Mexico,2020-04-01,1378,37,633,708
Mexico,2020-04-02,1510,50,633,827
Mexico,2020-04-03,1688,60,633,995
Mexico,2020-04-04,1890,79,633,1178
Mexico,2020-04-05,2143,94,633,1416
Mexico,2020-04-06,2439,125,633,1681
Mexico,2020-04-07,2785,141,633,2011
Mexico,2020-04-08,3181,174,633,2374
Mexico,2020-04-09,3441,194,633,2614
Mexico,2020-04-10,3844,233,633,2978
Mexico,2020-04-11,4219,273,634,3312
Mexico,2020-04-12,4661,296,1722,2643
Mexico,2020-04-13,5014,332,1964,2718
Mexico,2020-04-14,5399,406,2125,2868
Mexico,2020-04-15,5847,449,2125,3273
Mexico,2020-04-16,6297,486,2451,3360
Mexico,2020-04-17,6875,546,2627,3702
Mexico,2020-04-18,7497,650,2847,4000
Mexico,2020-04-19,8261,686,3087,4488
Mexico,2020-04-20,8772,712,3087,4973
Philippines,2020-01-30,1,0,0,1
Philippines,2020-01-31,1,0,0,1
Philippines,2020-02-01,1,0,0,1
Philippines,2020-02-02,2,1,0,1
Philippines,2020-02-03,2,1,0,1
Philippines,2020-02-04,2,1,0,1
Philippines,2020-02-05,3,1,1,1
Philippines,2020-02-06,3,1,1,1
Philippines,2020-02-07,3,1,1,1
Philippines,2020-02-08,3,1,1,1
Philippines,2020-02-09,3,1,1,1
Philippines,2020-02-10,3,1,2,0
Philippines,2020-02-11,3,1,2,0
Philippines,2020-02-12,3,1,2,0
Philippines,2020-02-13,3,1,2,0
Philippines,2020-02-14,3,1,2,0
Philippines,2020-02-15,3,1,2,0
Philippines,2020-02-16,3,1,2,0
Philippines,2020-02-17,3,1,2,0
Philippines,2020-02-18,3,1,2,0
Philippines,2020-02-19,3,1,2,0
Philippines,2020-02-20,3,1,2,0
Philippines,2020-02-21,3,1,2,0
Philippines,2020-02-22,3,1,2,0
Philippines,2020-02-23,3,1,2,0
Philippines,2020-02-24,3,1,2,0
Philippines,2020-02-25,3,1,2,0
Philippines,2020-02-26,3,1,2,0
Philippines,2020-02-27,3,1,2,0
Philippines,2020-02-28,3,1,2,0
Philippines,2020-02-29,3,1,2,0
Philippines,2020-03-01,3,1,2,0
Philippines,2020-03-02,3,1,2,0
Philippines,2020-03-03,3,1,2,0
Philippines,2020-03-04,3,1,2,0
Philippines,2020-03-05,5,1,2,2
Philippines,2020-03-06,5,1,2,2
Philippines,2020-03-07,6,1,2,3
Philippines,2020-03-08,10,1,2,7
Philippines,2020-03-09,24,1,2,21
Philippines,2020-03-10,33,1,2,30
Philippines,2020-03-11,49,2,2,45
Philippines,2020-03-12,52,5,2,45
Philippines,2020-03-13,64,6,2,56
Philippines,2020-03-14,111,8,2,101
Philippines,2020-03-15,140,12,2,126
Philippines,2020-03-16,142,12,3,127
Philippines,2020-03-17,187,14,4,169
Philippines,2020-03-18,202,17,7,178
Philippines,2020-03-19,217,17,8,192
Philippines,2020-03-20,230,17,8,205
Philippines,2020-03-21,307,18,13,276
Philippines,2020-03-22,380,19,17,344
Philippines,2020-03-23,462,25,18,419
Philippines,2020-03-24,552,33,20,499
Philippines,2020-03-25,636,35,26,575
Philippines,2020-03-26,707,38,28,641
Philippines,2020-03-27,803,45,31,727
Philippines,2020-03-28,1075,54,35,986
Philippines,2020-03-29,1418,78,42,1298
Philippines,2020-03-30,1546,88,42,1416
Philippines,2020-03-31,2084,96,49,1939
Philippines,2020-04-01,2311,107,50,2154
Philippines,2020-04-02,2633,136,51,2446
Philippines,2020-04-03,3018,144,52,2822
Philippines,2020-04-04,3094,152,57,2885
Philippines,2020-04-05,3246,163,64,3019
Philippines,2020-04-06,3660,177,84,3399
Philippines,2020-04-07,3764,182,96,3486
Philippines,2020-04-08,3870,203,124,3543
Philippines,2020-04-09,4076,221,140,3715
Philippines,2020-04-10,4195,247,157,3791
Philippines,2020-04-11,4428,297,197,3934
Philippines,2020-04-12,4648,315,242,4091
Philippines,2020-04-13,4932,335,295,4302
Philippines,2020-04-14,5223,349,353,4521
